Name,RA(J2000),Decl(J2000),Morphology,T-type,BPT,E(B-V),g,u-g,M_g,cz,D_L
 IC 0691         ,   171.68451,   59.15551,     Irr          ,   -   ,  SF     ,   0.01 ,  13.90  ,   0.78 ,  -18.02 ,   1198 ,   23.7 
 NGC 3690        ,   172.13218,   58.56231,     Pec          ,   9.0 ,  SF/AGN ,   0.01 ,  12.03  ,   0.75 ,  -21.49 ,   3115 ,   50.6 
 NGC 3773        ,   174.55409,   12.11211,     SA0          ,  -2.0 ,  SF     ,   0.03 ,  12.80  ,   0.69 ,  -17.71 ,    988 ,   11.9 
 Mrk 1450        ,   174.64853,   57.87430,     Irr          ,   -   ,  SF     ,   0.01 ,  15.34  ,   0.70 ,  -16.17 ,    958 ,   20.0 
 UGC 06665       ,   175.55129,    0.33436,     Sb           ,   3.0 ,  SF     ,   0.04 ,  13.85  ,   0.60 ,  -20.85 ,   5572 ,   87.4 
 NGC 3870        ,   176.48579,   50.19929,     S0           ,  -2.0 ,  SF     ,   0.01 ,  13.10  ,   0.82 ,  -18.43 ,    748 ,   19.8 
 UM 461          ,   177.88812,   -2.37277,     Irr          ,   -   ,  SF     ,   0.03 ,  15.35  ,   0.85 ,  -15.39 ,   1048 ,   13.4 
 UGC 06850       ,   178.15596,   -2.46913,     Irr          ,  99.0 ,  SF     ,   0.04 ,  14.14  ,   0.46 ,  -16.63 ,   1048 ,   13.4 
      NGC 3938   ,   178.20604,   44.12072,       SAc        ,   5.0 ,  -      ,   0.01 ,  10.97  ,   1.17 ,  -19.71 ,    809 ,   13.4 
 NGC 4088        ,   181.39254,   50.53930,     SAB(rs)bc    ,   4.0 ,  SF     ,   0.02 ,  10.79  ,   1.14 ,  -20.69 ,    748 ,   19.8 
      NGC 4125   ,   182.02438,   65.17448,       E6 pec     ,  -5.0 ,  -      ,   0.03 ,  10.79  ,   1.75 ,  -21.10 ,   1356 ,   23.9 
 NGC 4138        ,   182.37415,   43.68531,     SA(r)0       ,  -1.0 ,  SF/AGN ,   0.01 ,  11.54  ,   1.44 ,  -19.22 ,    898 ,   13.8 
        NGC 4168 ,   183.07198,   13.20518,                E ,  -5.0 ,  -      ,   0.03 ,  11.45  ,   1.67 ,  -21.10 ,   2215 ,   30.9 
 NGC 4194        ,   183.54004,   54.52674,     Pec          ,  10.0 ,  SF/AGN ,   0.02 ,  12.82  ,   0.97 ,  -20.27 ,   2426 ,   41.5 
 Haro 06         ,   183.82665,    5.76073,     Irr          ,  -5.0 ,  SF     ,   0.03 ,  14.77  ,   0.55 ,  -15.91 ,   2007 ,   13.7 
 NGC 4254        ,   184.70661,   14.41658,     SAc          ,   5.0 ,  SF     ,   0.04 ,  10.49  ,   1.07 ,  -20.73 ,   2396 ,   16.5 
 NGC 4321        ,   185.72846,   15.82182,     SABbc        ,   4.0 ,  SF     ,   0.03 ,  10.32  ,   1.15 ,  -20.59 ,   1557 ,   14.3 
        NGC 4365 ,   186.11775,    7.31767,                E ,  -5.0 ,  -      ,   0.03 ,  10.40  ,   1.75 ,  -21.42 ,   1243 ,   23.1 
        NGC 4387 ,   186.42373,   12.81057,                E ,  -5.0 ,  -      ,   0.02 ,  12.62  ,   1.65 ,  -18.75 ,    472 ,   18.0 
 NGC 4385        ,   186.42838,    0.57270,     SB(rs)0      ,  -1.0 ,  SF/AGN ,   0.03 ,  11.94  ,   1.04 ,  -20.87 ,   2127 ,   34.7 
      NGC 4450   ,   187.12334,   17.08494,       SAab       ,   2.0 ,  AGN    ,   0.05 ,  10.39  ,   1.61 ,  -20.88 ,   1954 ,   16.5 
