,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
60813,90,13813,1.0,92.7537,0.06926068,3.896612,0.02511341,1.283881,0.7311633,-0.3458227,2.366065,-1.578996e-05,0.9337784,0.1777371,0.9319164
60818,95,13091,9.0,93.3964,0.08029142,3.998805,0.02544898,0.9638192,0.6725371,-0.6474471,2.479663,-0.0001162395,0.8262816,0.2352047,0.962793
60819,96,10302,3.0,91.9327,0.08029142,3.998805,0.02544898,0.9638192,0.6725371,-0.6474471,2.230836,-1.450217e-05,0.9468608,0.2352047,0.962793
60824,101,14823,4.0,90.2901,0.06802432,4.320581,0.02532133,1.059493,0.7281734,-0.7261523,2.761746,0.0001978556,1.082053,0.1772601,1.03802
60825,102,11065,7.0,91.5787,0.05408956,4.679103,0.02281985,1.077676,0.6894114,-1.226488,2.927606,0.0002776173,1.106039,0.1631716,1.056863
60830,107,10129,9.0,91.9456,0.0533133,4.528995,0.02127339,0.9827149,0.6593712,-1.001225,3.014379,0.0001693711,1.079812,0.1730358,0.9553223
60833,110,11260,26.0,91.4642,0.05585082,4.610425,0.02122274,0.9078405,0.667161,-0.8753087,2.973638,-0.000151563,1.019664,0.1746058,1.013384
60836,113,11782,34.0,92.3792,0.05585082,4.610425,0.02122274,0.9078405,0.667161,-0.8753087,3.129064,-0.0003281229,1.092078,0.1746058,1.013384
60837,114,12869,31.0,91.6667,0.05585082,4.610425,0.02122274,0.9078405,0.667161,-0.8753087,2.761933,-0.0001319998,1.054069,0.1746058,1.013384
60843,120,13833,5.0,91.8169,0.1299081,2.579604,0.01938703,1.143309,0.6855394,-0.5682629,2.763024,0.0002665338,1.066246,0.319044,0.747374
60846,123,14385,3.0,91.9858,0.1623202,1.921049,0.02006473,1.253308,0.6939316,-0.0945154,2.334158,0.0001129135,0.9201319,0.3800901,0.6462661
60850,127,13546,9.0,92.4028,0.1623202,1.921049,0.02006473,1.253308,0.6939316,-0.0945154,2.746869,-0.0002156734,0.9061198,0.3800901,0.6462661
